ID,Shape,Polymer,Polymer_name,Degradation,shoot_mg,root_mg,totalmass_mg,WSA,CO2_ppm,SRSA,SRL,RTD,diameter_mm,WaterAbsorb,UV_Incubation_Days,Soil_Incubation_Days,Total_Incubation_Days,Degradation_Percent
PP-A1-5,Film,Film_PP,Polypropylene,Non_degraded,67.4,76.4,143.8,57.86,1257.185452,16.486364,225.9922727,104.7619,0.2322,-,14,85,99,29.8
PP-A1-6,Film,Film_PP,Polypropylene,Non_degraded,53.7,59.8,113.5,44.88,1731.950224,21.28505,317.4084158,87.8261,0.2135,-,14,85,99,41.06
PP-A1-7,Film,Film_PP,Polypropylene,Non_degraded,43.5,94.2,137.7,45.09,1460.699971,19.123412,272.9994118,93.4066,0.223,-,14,85,99,34.63
PU-B1-1,Foam,Foam_PU,Polyurethane,Non_degraded,63.6,64.7,128.3,41.19,1062.624662,15.738974,240.0379487,121.875,0.2087,244.1,14,85,99,53.49
PU-B1-2,Foam,Foam_PU,Polyurethane,Non_degraded,74.4,52.7,127.1,48.91,1347.07207,17.523731,261.6614925,106.3492,0.2132,258.8,14,85,99,61.94
PU-B1-3,Foam,Foam_PU,Polyurethane,Non_degraded,79.5,54.9,134.4,68.06,1334.415434,17.8525635,250.6089666,100.07,0.22805,251.7,14,85,99,60.81
PU-B1-4,Foam,Foam_PU,Polyurethane,Non_degraded,71.1,52.1,123.2,50.57,1020.040517,21.508621,264.3532759,71.6049,0.259,-,14,85,99,24.18
PU-B1-5,Foam,Foam_PU,Polyurethane,Non_degraded,79.3,41.9,121.2,55.31,1424.424789,16.450227,199.1956818,91.6667,0.2629,-,14,85,99,33.77
PU-B1-6,Foam,Foam_PU,Polyurethane,Non_degraded,72.5,55.2,127.7,63.93,1179.810074,18.422195,266.5168293,97.619,0.22,-,14,85,99,27.97
PU-B1-7,Foam,Foam_PU,Polyurethane,Non_degraded,70.2,56.5,126.7,43.75,1460.148595,17.471633,271.8885714,111.3636,0.2045,-,14,85,99,34.62
PS-B1-1,Foam,Foam_PS,Polystyrene,Non_degraded,78.1,70.8,148.9,51.82,1546.430023,11.047021,150.0470213,156.6667,0.2344,27.76,14,85,99,39.88
PS-B1-2,Foam,Foam_PS,Polystyrene,Non_degraded,49.7,65.5,115.2,50.84,1587.046113,15.75,199.735,100.0,0.251,25.18,14,85,99,40.54
PS-B1-3,Foam,Foam_PS,Polystyrene,Non_degraded,59.7,67.3,127.0,47.63,1601.692756,10.889688,109.8534375,118.5185,0.3155,25.06,14,85,99,40.88
PS-B1-4,Foam,Foam_PS,Polystyrene,Non_degraded,62.6,57.3,119.9,52.15,1449.23106,18.084375,263.2375,101.5873,0.2187,-,14,85,99,34.36
PS-B1-5,Foam,Foam_PS,Polystyrene,Non_degraded,69.7,61.0,130.7,53.13,1028.011635,16.812083,235.60875,104.3478,0.2271,-,14,85,99,24.37
PS-B1-6,Foam,Foam_PS,Polystyrene,Non_degraded,60.1,69.3,129.4,51.92,1256.103235,15.764412,209.9155882,106.25,0.239,-,14,85,99,29.78
PS-B1-7,Foam,Foam_PS,Polystyrene,Non_degraded,90.9,86.5,177.4,51.4,1225.81601,16.802982,259.5280702,116.3265,0.2061,-,14,85,99,29.06
PP-C1-1,Fiber,Fiber_PP,Polypropylene,Non_degraded,66.2,32.9,99.1,52.66,1665.912049,19.133,271.677,93.0233,0.2242,2,14,85,99,39.73
PP-C1-2,Fiber,Fiber_PP,Polypropylene,Non_degraded,73.1,55.2,128.3,51.05,1408.0,16.791333,228.8943333,101.6949,0.2335,3,14,85,99,33.73
PP-C1-3,Fiber,Fiber_PP,Polypropylene,Non_degraded,67.3,48.7,116.0,44.67,1408.0,19.104375,282.9225,100.0,0.2149,3,14,85,99,33.73
PP-C1-4,Fiber,Fiber_PP,Polypropylene,Non_degraded,68.6,63.6,132.2,46.65,1610.378349,15.906571,211.1654286,106.0606,0.2398,4,14,85,99,38.64
PP-C1-5,Fiber,Fiber_PP,Polypropylene,Non_degraded,79.1,88.4,167.5,38.77,1323.883343,15.200185,202.0877778,110.2041,0.2394,3,14,85,99,31.73
PP-C1-6,Fiber,Fiber_PP,Polypropylene,Non_degraded,93.6,55.8,149.4,47.77,1347.681747,17.932143,251.9873214,98.2456,0.2265,4,14,85,99,32.41
PP-C1-7,Fiber,Fiber_PP,Polypropylene,Non_degraded,83.6,64.4,148.0,56.29,1092.187026,14.183729,218.769661,137.2093,0.2064,3,14,85,99,26.24
PET-C1-1,Fiber,Fiber_PET,Polyethylene_terephthalate,Non_degraded,69.5,45.4,114.9,44.84,1921.092608,18.712581,268.4898387,96.875,0.2218,4,28,85,113,46.01
PET-C1-2,Fiber,Fiber_PET,Polyethylene_terephthalate,Non_degraded,84.4,69.7,154.1,43.99,1202.864969,19.132656,289.3510938,100.0,0.2105,3,28,85,113,28.86
PET-C1-3,Fiber,Fiber_PET,Polyethylene_terephthalate,Non_degraded,57.5,58.4,115.9,38.59,1725.33,20.52449,305.3544898,90.7407,0.214,3,28,85,113,41.25
PET-C1-4,Fiber,Fiber_PET,Polyethylene_terephthalate,Non_degraded,64.9,65.3,130.2,52.86,1720.37793,20.533788,320.7987879,95.6522,0.2037,2,28,85,113,41.02
PET-C1-5,Fiber,Fiber_PET,Polyethylene_terephthalate,Non_degraded,54.9,63.9,118.8,41.18,1638.102949,20.890244,327.5114634,95.3488,0.203,3,28,85,113,39.18
PET-C1-6,Fiber,Fiber_PET,Polyethylene_terephthalate,Non_degraded,75.7,56.2,131.9,51.41,1851.099914,21.020541,317.7989189,90.2439,0.2105,2,28,85,113,44.12
PET-C1-7,Fiber,Fiber_PET,Polyethylene_terephthalate,Non_degraded,69.5,76.6,146.1,48.47,2018.448771,11.28525,163.159,160.0,0.2202,3,28,85,113,48.2
